Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Running,2023-03-18 09:45,2023-03-18 09:48,00:02:51,33.55,28.3,148,135.53,0.245,5.14,416,2.42,,,,,
Traditional Strength Training,2023-03-18 08:13,2023-03-18 09:30,01:16:21,508.08,383.51,141,94.86,,,1153,0.252,,,,,
Traditional Strength Training,2023-03-17 07:57,2023-03-17 09:11,01:13:52,532.59,382.78,146,104.12,,,1507,0.34,,,,,
Running,2023-03-16 12:47,2023-03-16 12:59,00:11:31,165.26,120.55,167,138.3,0.997,5.19,1615,2.34,,,,,
Traditional Strength Training,2023-03-15 06:11,2023-03-15 07:21,01:10:03,494.31,353.17,145,89.41,,,1154,0.275,,,,,
Traditional Strength Training,2023-03-14 07:01,2023-03-14 07:44,00:42:34,297.29,202.15,144,93.14,,,566,0.222,,,,,
Running,2023-03-13 15:49,2023-03-13 15:55,00:05:48,99.6,63.72,168,139.37,0.503,5.2,806,2.31,,,,,
Cycling,2023-03-13 14:36,2023-03-13 15:06,00:30:00,385.23,308,156,124.53,8.41,16.82,339,0.188,,,,,
Traditional Strength Training,2023-03-12 08:49,2023-03-12 09:54,01:05:05,473.94,363.55,150,105.68,,,1141,0.292,,,,,
Running,2023-03-11 08:02,2023-03-11 08:32,00:29:08,491.19,414.29,189,178.09,3.12,6.41,4321,2.47,,,3.0,73.33,
Traditional Strength Training,2023-03-10 08:06,2023-03-10 09:10,01:03:46,494.34,362.48,161,103.43,,,1259,0.329,,,,,
Traditional Strength Training,2023-03-08 05:46,2023-03-08 07:00,01:13:58,536.32,394.77,153,101.5,,,1172,0.264,,,,,
Traditional Strength Training,2023-03-07 06:56,2023-03-07 07:55,00:58:37,524.33,402.55,161,115.93,,,586,0.167,,,,,
Running,2023-03-04 09:00,2023-03-04 09:29,00:29:23,470.1,392.72,187,174.42,3.09,6.3,4428,2.51,,,3.0,61.98,
Traditional Strength Training,2023-03-03 06:00,2023-03-03 06:54,00:54:48,471.79,357.18,166,115.07,,,1076,0.327,,,,,
Traditional Strength Training,2023-03-01 11:06,2023-03-01 12:03,00:57:34,458.41,339.8,156,106.64,,,708,0.205,,,,,
