Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm)
Traditional Strength Training,2/26/2023 10:51,2/26/2023 11:49,0:58:17,521.53,418.1,155,118.49,,,1479,0.423
Traditional Strength Training,2/24/2023 8:50,2/24/2023 10:17,1:27:55,605.76,439.67,158,96.23,,,825,0.156
Traditional Strength Training,2/23/2023 15:10,2/23/2023 16:12,1:01:47,460.82,336.67,148,96.99,,,871,0.235
Traditional Strength Training,2/21/2023 6:41,2/21/2023 7:32,0:50:59,496.72,386.49,162,120.55,,,559,0.183
Traditional Strength Training,2/19/2023 12:49,2/19/2023 13:52,1:02:17,430.04,301.9,141,95.62,,,807,0.216
Running,2/18/2023 8:33,2/18/2023 9:02,0:29:21,492.57,414.88,182,170.04,3.09,6.31,4333,2.46
Traditional Strength Training,2/17/2023 13:14,2/17/2023 14:04,0:49:46,375.34,264.08,160,104.47,,,759,0.254
Traditional Strength Training,2/16/2023 14:34,2/16/2023 15:27,0:53:02,375.28,288.57,145,97.02,,,771,0.242
Traditional Strength Training,2/14/2023 6:42,2/14/2023 7:37,0:55:13,446.39,329.29,163,109.5,,,740,0.223
Cycling,2/12/2023 17:31,2/12/2023 17:41,0:10:01,158.64,119,152,137.76,2.88,17.25,,
Running,2/12/2023 13:26,2/12/2023 13:46,0:20:32,316.2,254,168,132.4,1.46,4.27,2622,2.13
Traditional Strength Training,2/11/2023 8:00,2/11/2023 9:40,1:39:25,654.72,478.25,140,81.37,,,978,0.164
Traditional Strength Training,2/9/2023 6:53,2/9/2023 7:51,0:57:55,412.1,315.3,154,95.88,,,973,0.28
Traditional Strength Training,2/7/2023 6:40,2/7/2023 8:02,1:22:32,695.59,533.53,157,111.14,,,1284,0.259
Traditional Strength Training,2/6/2023 6:09,2/6/2023 7:24,1:15:05,543.96,416.29,157,103.58,,,1108,0.246
Cycling,2/4/2023 17:47,2/4/2023 18:17,0:30:00,435.85,361,172,134.3,8.4,16.8,15,0.008
Traditional Strength Training,1/30/2023 6:18,1/30/2023 7:12,0:53:52,434.79,315.74,160,105.47,,,1142,0.353
Traditional Strength Training,1/29/2023 11:23,1/29/2023 12:09,0:45:39,375.57,274.02,154,109.59,,,681,0.249
Running,1/28/2023 8:17,1/28/2023 8:52,0:34:41,513.71,426.96,190,166.61,3.14,5.43,5102,2.45
Traditional Strength Training,1/27/2023 13:18,1/27/2023 14:20,1:02:09,451.81,346.47,158,98,,,741,0.199
Running,1/25/2023 6:20,1/25/2023 6:50,0:30:00,512.95,436,170,150.91,2.31,4.62,3664,2.04
Traditional Strength Training,1/24/2023 5:40,1/24/2023 6:41,1:00:40,521.87,389.74,158,108.99,,,1311,0.36
Traditional Strength Training,1/23/2023 6:17,1/23/2023 7:16,0:58:42,575.27,456.15,165,117.72,,,877,0.249
Traditional Strength Training,1/21/2023 8:49,1/21/2023 9:05,0:15:39,117.7,75.26,119,98.5,,,350,0.373
Traditional Strength Training,1/21/2023 6:26,1/21/2023 7:02,0:36:10,264.9,194.85,142,98.2,,,348,0.16
Walking,1/20/2023 10:32,1/20/2023 10:42,0:10:49,87,51.43,88,78.25,0.491,2.72,609,0.938
Traditional Strength Training,1/19/2023 6:49,1/19/2023 8:16,1:26:49,628.75,487.54,153,101.73,,,1317,0.253
Walking,1/18/2023 10:16,1/18/2023 10:46,0:30:00,400.07,344,166,127.43,2.16,4.32,3721,2.07
Traditional Strength Training,1/17/2023 5:31,1/17/2023 6:27,0:55:46,527.2,405.86,161,114.59,,,886,0.265
Traditional Strength Training,1/16/2023 6:23,1/16/2023 7:14,0:51:50,373.31,264.88,153,98.13,,,536,0.172
Traditional Strength Training,1/15/2023 10:34,1/15/2023 11:16,0:42:15,350.8,261.31,150,108.19,,,1195,0.471
Traditional Strength Training,1/12/2023 11:14,1/12/2023 12:40,1:26:27,619.54,458.68,149,99.56,,,998,0.192
Running,1/11/2023 12:39,1/11/2023 12:49,0:10:00,158.9,119,172,136.57,0.54,3.24,347,0.578
Running,1/11/2023 12:16,1/11/2023 12:36,0:20:00,297.76,261,174,140.87,1.62,4.86,1255,1.05
Traditional Strength Training,1/10/2023 6:47,1/10/2023 7:43,0:56:24,472.29,357.73,150,103.24,,,953,0.282
Traditional Strength Training,1/9/2023 6:13,1/9/2023 7:18,1:04:44,579.9,447.04,154,112.13,,,1306,0.336
Cycling,1/8/2023 16:59,1/8/2023 17:09,0:10:01,131.93,90,129,113.98,2.72,16.29,30,0.05
Cycling,1/8/2023 12:07,1/8/2023 12:27,0:20:03,233.68,173,134,112.81,5.75,17.21,76,0.063
Traditional Strength Training,1/7/2023 10:20,1/7/2023 11:09,0:49:07,392.48,294.51,158,104.69,,,844,0.286
Cycling,1/5/2023 18:11,1/5/2023 18:26,0:15:00,226.58,177,170,133.61,4.38,17.52,72,0.08
Traditional Strength Training,1/5/2023 14:17,1/5/2023 15:19,1:01:58,480.16,354.75,148,103.47,,,1168,0.314
Traditional Strength Training,1/4/2023 6:16,1/4/2023 7:08,0:51:53,338.17,252.43,132,94.3,,,1054,0.339
Traditional Strength Training,1/3/2023 8:07,1/3/2023 8:55,0:48:24,347.35,235.45,123,94,,,661,0.228
Cycling,1/2/2023 10:22,1/2/2023 10:52,0:30:00,452.54,374,171,138.04,8.5,17,77,0.043
Yoga,1/1/2023 19:34,1/1/2023 19:45,0:10:22,70.66,51,104,87.96,,,,
Cycling,1/1/2023 19:10,1/1/2023 19:30,0:20:00,236.26,192,143,120.16,5.34,16.02,62,0.052
